shadow_order_id,created_ts,strategy_id,ticker,event_ticker,category,side,action,maker_or_taker,intended_price_cents,assumed_fill_price_cents,size_contracts,fees_assumed_dollars,slippage_assumed_dollars,rules_text_hash,rules_pointer,resolution_pointer,status,resolved_ts,resolved_payout_dollars,realized_pnl_dollars,notes
shadow-26FEB26_fullslate_auto2-KXNBAGAME-26FEB26CHAIND-IND,2026-02-27T01:43:09.481720+00:00,,KXNBAGAME-26FEB26CHAIND-IND,KXNBAGAME-26FEB26CHAIND,Sports,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:47.904071+00:00,0.000000,0.000000,p_true=0.005000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_auto2-KXNBAGAME-26FEB26HOUORL-HOU,2026-02-27T01:43:09.573996+00:00,,KXNBAGAME-26FEB26HOUORL-HOU,KXNBAGAME-26FEB26HOUORL,Sports,yes,post_yes,maker,26,26,1,0.0,0.0,,,,filled,,,,p_true=0.265000;fill_trade_id=c7fb444c-479c-7bc7-1450-5eda4b851211;fill_count_seen=13
shadow-26FEB26_fullslate_auto2-KXNBAGAME-26FEB26HOUORL-ORL,2026-02-27T01:43:09.662666+00:00,,KXNBAGAME-26FEB26HOUORL-ORL,KXNBAGAME-26FEB26HOUORL,Sports,yes,post_yes,maker,73,73,1,0.0,0.0,,,,filled,,,,p_true=0.735000;fill_trade_id=6c6ce043-e1c3-6706-f2d7-a0cdc0b2eb1e;fill_count_seen=4
shadow-26FEB26_fullslate_auto2-KXNBAGAME-26FEB26LALPHX-LAL,2026-02-27T01:43:09.801034+00:00,,KXNBAGAME-26FEB26LALPHX-LAL,KXNBAGAME-26FEB26LALPHX,Sports,yes,post_yes,maker,66,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:47.904181+00:00,0.000000,0.000000,p_true=0.665000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_auto2-KXNBAGAME-26FEB26LALPHX-PHX,2026-02-27T01:43:09.884997+00:00,,KXNBAGAME-26FEB26LALPHX-PHX,KXNBAGAME-26FEB26LALPHX,Sports,yes,post_yes,maker,33,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:47.904203+00:00,0.000000,0.000000,p_true=0.335000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_auto2-KXNBAGAME-26FEB26MIAPHI-MIA,2026-02-27T01:43:09.975283+00:00,,KXNBAGAME-26FEB26MIAPHI-MIA,KXNBAGAME-26FEB26MIAPHI,Sports,yes,post_yes,maker,34,34,1,0.0,0.0,,,,filled,,,,p_true=0.345000;fill_trade_id=765208a0-235e-486b-b6ce-d7241d13a493;fill_count_seen=1
shadow-26FEB26_fullslate_auto2-KXNBAGAME-26FEB26MINLAC-LAC,2026-02-27T01:43:10.155014+00:00,,KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,Sports,yes,post_yes,maker,25,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:47.912311+00:00,0.000000,0.000000,p_true=0.255000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_auto2-KXNBAGAME-26FEB26MINLAC-MIN,2026-02-27T01:43:10.292813+00:00,,KXNBAGAME-26FEB26MINLAC-MIN,KXNBAGAME-26FEB26MINLAC,Sports,yes,post_yes,maker,74,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:47.912346+00:00,0.000000,0.000000,p_true=0.745000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_auto2-KXNBAGAME-26FEB26NOPUTA-NOP,2026-02-27T01:43:10.381638+00:00,,KXNBAGAME-26FEB26NOPUTA-NOP,KXNBAGAME-26FEB26NOPUTA,Sports,yes,post_yes,maker,68,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:47.912358+00:00,0.000000,0.000000,p_true=0.685000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_auto2-KXNBAGAME-26FEB26NOPUTA-UTA,2026-02-27T01:43:10.472526+00:00,,KXNBAGAME-26FEB26NOPUTA-UTA,KXNBAGAME-26FEB26NOPUTA,Sports,yes,post_yes,maker,32,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:47.912366+00:00,0.000000,0.000000,p_true=0.320000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_auto2-KXNBAGAME-26FEB26PORCHI-CHI,2026-02-27T01:43:10.560590+00:00,,KXNBAGAME-26FEB26PORCHI-CHI,KXNBAGAME-26FEB26PORCHI,Sports,yes,post_yes,maker,44,44,1,0.0,0.0,,,,filled,,,,p_true=0.445000;fill_trade_id=94c1497f-6e53-42f1-d77d-2141b616ad43;fill_count_seen=4
shadow-26FEB26_fullslate_auto2-KXNBAGAME-26FEB26PORCHI-POR,2026-02-27T01:43:10.650242+00:00,,KXNBAGAME-26FEB26PORCHI-POR,KXNBAGAME-26FEB26PORCHI,Sports,yes,post_yes,maker,55,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:47.912376+00:00,0.000000,0.000000,p_true=0.555000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_auto2-KXNBAGAME-26FEB26SACDAL-DAL,2026-02-27T01:43:10.740830+00:00,,KXNBAGAME-26FEB26SACDAL-DAL,KXNBAGAME-26FEB26SACDAL,Sports,yes,post_yes,maker,73,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:47.912384+00:00,0.000000,0.000000,p_true=0.735000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_auto2-KXNBAGAME-26FEB26SACDAL-SAC,2026-02-27T01:43:10.826876+00:00,,KXNBAGAME-26FEB26SACDAL-SAC,KXNBAGAME-26FEB26SACDAL,Sports,yes,post_yes,maker,26,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:47.912391+00:00,0.000000,0.000000,p_true=0.265000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_auto2-KXNBAGAME-26FEB26SASBKN-BKN,2026-02-27T01:43:10.917708+00:00,,KXNBAGAME-26FEB26SASBKN-BKN,KXNBAGAME-26FEB26SASBKN,Sports,yes,post_yes,maker,2,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:47.912398+00:00,0.000000,0.000000,p_true=0.025000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_auto2-KXNBAGAME-26FEB26SASBKN-SAS,2026-02-27T01:43:11.010527+00:00,,KXNBAGAME-26FEB26SASBKN-SAS,KXNBAGAME-26FEB26SASBKN,Sports,yes,post_yes,maker,97,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:47.912404+00:00,0.000000,0.000000,p_true=0.970000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_auto2-KXNBAGAME-26FEB26WASATL-ATL,2026-02-27T01:43:11.104475+00:00,,KXNBAGAME-26FEB26WASATL-ATL,KXNBAGAME-26FEB26WASATL,Sports,yes,post_yes,maker,97,97,1,0.0,0.0,,,,filled,,,,p_true=0.975000;fill_trade_id=d2018978-2e06-681e-2736-e453db4b8105;fill_count_seen=1
shadow-26FEB26_fullslate_auto2-KXNBAGAME-26FEB26WASATL-WAS,2026-02-27T01:43:11.199944+00:00,,KXNBAGAME-26FEB26WASATL-WAS,KXNBAGAME-26FEB26WASATL,Sports,yes,post_yes,maker,2,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:47.912411+00:00,0.000000,0.000000,p_true=0.025000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_auto2-KXNHLGAME-26FEB26CGYSJ-CGY,2026-02-27T01:43:11.485838+00:00,,KXNHLGAME-26FEB26CGYSJ-CGY,KXNHLGAME-26FEB26CGYSJ,Sports,yes,post_yes,maker,46,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:48.258930+00:00,0.000000,0.000000,p_true=0.465000;edge_gone:nhl_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_auto2-KXNHLGAME-26FEB26CGYSJ-SJ,2026-02-27T01:43:11.578801+00:00,,KXNHLGAME-26FEB26CGYSJ-SJ,KXNHLGAME-26FEB26CGYSJ,Sports,yes,post_yes,maker,54,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:48.258963+00:00,0.000000,0.000000,p_true=0.545000;edge_gone:nhl_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_auto2-KXNHLGAME-26FEB26EDMLA-EDM,2026-02-27T01:43:12.027963+00:00,,KXNHLGAME-26FEB26EDMLA-EDM,KXNHLGAME-26FEB26EDMLA,Sports,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:48.286072+00:00,0.000000,0.000000,p_true=0.505000;edge_gone:nhl_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_auto2-KXNHLGAME-26FEB26EDMLA-LA,2026-02-27T01:43:12.121035+00:00,,KXNHLGAME-26FEB26EDMLA-LA,KXNHLGAME-26FEB26EDMLA,Sports,yes,post_yes,maker,48,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:48.286130+00:00,0.000000,0.000000,p_true=0.485000;edge_gone:nhl_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_auto2-KXNHLGAME-26FEB26NJPIT-NJ,2026-02-27T01:43:12.415097+00:00,,KXNHLGAME-26FEB26NJPIT-NJ,KXNHLGAME-26FEB26NJPIT,Sports,yes,post_yes,maker,39,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:48.297668+00:00,0.000000,0.000000,p_true=0.390000;edge_gone:nhl_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_auto2-KXNHLGAME-26FEB26NJPIT-PIT,2026-02-27T01:43:12.505774+00:00,,KXNHLGAME-26FEB26NJPIT-PIT,KXNHLGAME-26FEB26NJPIT,Sports,yes,post_yes,maker,58,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:48.297702+00:00,0.000000,0.000000,p_true=0.580000;edge_gone:nhl_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_auto2-KXNHLGAME-26FEB26NYIMTL-MTL,2026-02-27T01:43:12.605623+00:00,,KXNHLGAME-26FEB26NYIMTL-MTL,KXNHLGAME-26FEB26NYIMTL,Sports,yes,post_yes,maker,88,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:48.297714+00:00,0.000000,0.000000,p_true=0.885000;edge_gone:nhl_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_auto2-KXNHLGAME-26FEB26NYIMTL-NYI,2026-02-27T01:43:12.701816+00:00,,KXNHLGAME-26FEB26NYIMTL-NYI,KXNHLGAME-26FEB26NYIMTL,Sports,yes,post_yes,maker,10,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:48.297774+00:00,0.000000,0.000000,p_true=0.105000;edge_gone:nhl_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_auto2-KXNHLGAME-26FEB26PHINYR-NYR,2026-02-27T01:43:12.796270+00:00,,KXNHLGAME-26FEB26PHINYR-NYR,KXNHLGAME-26FEB26PHINYR,Sports,yes,post_yes,maker,79,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:48.297791+00:00,0.000000,0.000000,p_true=0.690000;edge_gone:liquidity_guard_failed;station_id=None
shadow-26FEB26_fullslate_auto2-KXNHLGAME-26FEB26PHINYR-PHI,2026-02-27T01:43:12.890534+00:00,,KXNHLGAME-26FEB26PHINYR-PHI,KXNHLGAME-26FEB26PHINYR,Sports,yes,post_yes,maker,41,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:48.297811+00:00,0.000000,0.000000,p_true=0.350000;edge_gone:liquidity_guard_failed;station_id=None
shadow-26FEB26_fullslate_auto2-KXNHLGAME-26FEB26TBCAR-CAR,2026-02-27T01:43:13.175524+00:00,,KXNHLGAME-26FEB26TBCAR-CAR,KXNHLGAME-26FEB26TBCAR,Sports,yes,post_yes,maker,56,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:48.308630+00:00,0.000000,0.000000,p_true=0.555000;edge_gone:nhl_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_auto2-KXNHLGAME-26FEB26TBCAR-TB,2026-02-27T01:43:13.265482+00:00,,KXNHLGAME-26FEB26TBCAR-TB,KXNHLGAME-26FEB26TBCAR,Sports,yes,post_yes,maker,43,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:48.308655+00:00,0.000000,0.000000,p_true=0.420000;edge_gone:nhl_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_auto2-KXNHLGAME-26FEB26TORFLA-FLA,2026-02-27T01:43:13.409420+00:00,,KXNHLGAME-26FEB26TORFLA-FLA,KXNHLGAME-26FEB26TORFLA,Sports,yes,post_yes,maker,98,98,1,0.0,0.0,,,,filled,,,,p_true=0.985000;fill_trade_id=55eadcb0-010e-499a-0974-f2fa05f29b6f;fill_count_seen=1
shadow-26FEB26_fullslate_auto2-KXNHLGAME-26FEB26TORFLA-TOR,2026-02-27T01:43:13.501691+00:00,,KXNHLGAME-26FEB26TORFLA-TOR,KXNHLGAME-26FEB26TORFLA,Sports,yes,post_yes,maker,1,1,1,0.0,0.0,,,,filled,,,,p_true=0.015000;fill_trade_id=f9fba1a6-390c-64d7-1666-b5d1fc2bc9b0;fill_count_seen=1
shadow-26FEB26_fullslate_auto2-KXBTC-26FEB2621-B66875,2026-02-27T01:43:22.283777+00:00,,KXBTC-26FEB2621-B66875,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,6,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:48.341385+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_auto2-KXBTC-26FEB2621-B67875,2026-02-27T01:43:22.937413+00:00,,KXBTC-26FEB2621-B67875,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,12,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:48.350142+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_auto2-KXBTC-26FEB2621-B66625,2026-02-27T01:43:23.034262+00:00,,KXBTC-26FEB2621-B66625,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,1,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:48.359329+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_auto2-KXBTC-26FEB2621-B68125,2026-02-27T01:43:23.134548+00:00,,KXBTC-26FEB2621-B68125,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,3,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:48.370306+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_auto2-KXBTC-26FEB2621-B66375,2026-02-27T01:43:23.229159+00:00,,KXBTC-26FEB2621-B66375,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,1,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:48.379936+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_auto2-KXBTC-26FEB2621-B68375,2026-02-27T01:43:23.320071+00:00,,KXBTC-26FEB2621-B68375,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:48.390225+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_auto2-KXBTC-26FEB2621-B66125,2026-02-27T01:43:23.417616+00:00,,KXBTC-26FEB2621-B66125,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,5,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:48.399693+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_auto2-KXBTC-26FEB2621-B68625,2026-02-27T01:43:23.511810+00:00,,KXBTC-26FEB2621-B68625,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:48.409779+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_auto2-KXBTC-26FEB2621-B65875,2026-02-27T01:43:23.606107+00:00,,KXBTC-26FEB2621-B65875,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,1,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:48.419001+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_auto2-KXHIGHNY-26FEB26-B36.5,2026-02-27T01:43:25.673672+00:00,,KXHIGHNY-26FEB26-B36.5,KXHIGHNY-26FEB26,Climate and Weather,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:48.428814+00:00,0.000000,0.000000,p_true=0.005000;edge_gone:model_eval_failed;station_id=
shadow-26FEB26_fullslate_auto2-KXHIGHNY-26FEB26-B38.5,2026-02-27T01:43:25.768304+00:00,,KXHIGHNY-26FEB26-B38.5,KXHIGHNY-26FEB26,Climate and Weather,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:48.428832+00:00,0.000000,0.000000,p_true=0.005000;edge_gone:model_eval_failed;station_id=
shadow-26FEB26_fullslate_auto2-KXHIGHNY-26FEB26-B40.5,2026-02-27T01:43:25.858106+00:00,,KXHIGHNY-26FEB26-B40.5,KXHIGHNY-26FEB26,Climate and Weather,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:48.428839+00:00,0.000000,0.000000,p_true=0.005000;edge_gone:model_eval_failed;station_id=
shadow-26FEB26_fullslate_auto2-KXHIGHNY-26FEB26-B42.5,2026-02-27T01:43:25.950811+00:00,,KXHIGHNY-26FEB26-B42.5,KXHIGHNY-26FEB26,Climate and Weather,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:48.428847+00:00,0.000000,0.000000,p_true=0.005000;edge_gone:model_eval_failed;station_id=
shadow-26FEB26_fullslate_auto2-KXHIGHNY-26FEB26-T36,2026-02-27T01:43:26.044899+00:00,,KXHIGHNY-26FEB26-T36,KXHIGHNY-26FEB26,Climate and Weather,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:48.428852+00:00,0.000000,0.000000,p_true=0.005000;edge_gone:model_eval_failed;station_id=
shadow-26FEB26_fullslate_auto2-KXHIGHNY-26FEB26-T43,2026-02-27T01:43:26.136465+00:00,,KXHIGHNY-26FEB26-T43,KXHIGHNY-26FEB26,Climate and Weather,yes,post_yes,maker,99,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:43:48.428859+00:00,0.000000,0.000000,p_true=0.995000;edge_gone:model_eval_failed;station_id=
shadow-26FEB26_fullslate_auto2-KXNBAGAME-26FEB26CHAIND-CHA,2026-02-27T01:43:47.572548+00:00,,KXNBAGAME-26FEB26CHAIND-CHA,KXNBAGAME-26FEB26CHAIND,Sports,yes,post_yes,maker,92,,1,0.000000,0.002500,,,,open,,,,"p_true=0.995000;latest_eval=ev=0.011676,mu=0.9950,sigma=0.0000,p_true=0.971151,forecast_updated=2026-02-27T01:43:47.900747+00:00,station_id=,model=sports,econ_asof=;reprice:99->92@2026-02-27T01:43:47.572548+00:00;rev=1;reprice_from=99;mu=0.9950;sigma=0.0000;p_true=0.971151;forecast_updated=2026-02-27T01:43:47.900747+00:00;station_id="
shadow-26FEB26_fullslate_auto2-KXNBAGAME-26FEB26MIAPHI-PHI,2026-02-27T01:43:47.904217+00:00,,KXNBAGAME-26FEB26MIAPHI-PHI,KXNBAGAME-26FEB26MIAPHI,Sports,yes,post_yes,maker,63,,1,0.000000,0.002500,,,,open,,,,"p_true=0.660000;latest_eval=ev=0.012182,mu=0.7000,sigma=0.0000,p_true=0.685466,forecast_updated=2026-02-27T01:43:47.904249+00:00,station_id=,model=sports,econ_asof=;reprice:66->63@2026-02-27T01:43:47.904217+00:00;rev=1;reprice_from=66;mu=0.7000;sigma=0.0000;p_true=0.685466;forecast_updated=2026-02-27T01:43:47.904249+00:00;station_id="
shadow-26FEB26_fullslate_auto2-KXNHLGAME-26FEB26CBJBOS-BOS,2026-02-27T01:43:47.912417+00:00,,KXNHLGAME-26FEB26CBJBOS-BOS,KXNHLGAME-26FEB26CBJBOS,Sports,yes,post_yes,maker,68,,1,0.000000,0.002500,,,,open,,,,"p_true=0.735000;latest_eval=ev=0.011074,mu=0.7300,sigma=0.0000,p_true=0.730649,forecast_updated=2026-02-27T01:43:48.244477+00:00,station_id=,model=sports,econ_asof=;reprice:73->68@2026-02-27T01:43:47.912417+00:00;rev=1;reprice_from=73;mu=0.7300;sigma=0.0000;p_true=0.730649;forecast_updated=2026-02-27T01:43:48.244477+00:00;station_id="
