shadow_order_id,created_ts,strategy_id,ticker,event_ticker,category,side,action,maker_or_taker,intended_price_cents,assumed_fill_price_cents,size_contracts,fees_assumed_dollars,slippage_assumed_dollars,rules_text_hash,rules_pointer,resolution_pointer,status,resolved_ts,resolved_payout_dollars,realized_pnl_dollars,notes
shadow-26FEB26_fullslate_hfcheck-KXBTC-26FEB2621-B66875,2026-02-27T01:57:57.915408+00:00,,KXBTC-26FEB2621-B66875,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:58:23.930602+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_hfcheck-KXBTC-26FEB2621-B67625,2026-02-27T01:57:58.010444+00:00,,KXBTC-26FEB2621-B67625,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:58:23.939782+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_hfcheck-KXBTC-26FEB2621-B66625,2026-02-27T01:57:58.103856+00:00,,KXBTC-26FEB2621-B66625,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:58:23.948639+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_hfcheck-KXBTC-26FEB2621-B67875,2026-02-27T01:57:58.197502+00:00,,KXBTC-26FEB2621-B67875,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:58:23.957747+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_hfcheck-KXBTC-26FEB2621-B66375,2026-02-27T01:57:58.292772+00:00,,KXBTC-26FEB2621-B66375,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:58:23.967149+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_hfcheck-KXBTC-26FEB2621-B68125,2026-02-27T01:57:58.393341+00:00,,KXBTC-26FEB2621-B68125,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:58:23.975791+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_hfcheck-KXBTC-26FEB2621-B66125,2026-02-27T01:57:58.493776+00:00,,KXBTC-26FEB2621-B66125,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:58:23.983979+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_hfcheck-KXBTC-26FEB2621-B68375,2026-02-27T01:57:58.585773+00:00,,KXBTC-26FEB2621-B68375,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:58:23.992669+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_hfcheck-KXBTC-26FEB2621-B65875,2026-02-27T01:57:58.681138+00:00,,KXBTC-26FEB2621-B65875,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:58:24.001707+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_hfcheck-KXBTC-26FEB2621-B68625,2026-02-27T01:57:58.775651+00:00,,KXBTC-26FEB2621-B68625,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:58:24.010053+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
