shadow_order_id,created_ts,strategy_id,ticker,event_ticker,category,side,action,maker_or_taker,intended_price_cents,assumed_fill_price_cents,size_contracts,fees_assumed_dollars,slippage_assumed_dollars,rules_text_hash,rules_pointer,resolution_pointer,status,resolved_ts,resolved_payout_dollars,realized_pnl_dollars,notes
shadow-26FEB26_fullslate_throttle-KXBTC-26FEB2621-B66875,2026-02-27T01:44:05.918437+00:00,,KXBTC-26FEB2621-B66875,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,6,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:44:30.638071+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_throttle-KXBTC-26FEB2621-B66625,2026-02-27T01:44:06.105874+00:00,,KXBTC-26FEB2621-B66625,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,2,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:44:30.659294+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_throttle-KXBTC-26FEB2621-B67875,2026-02-27T01:44:06.195901+00:00,,KXBTC-26FEB2621-B67875,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:44:30.669740+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_throttle-KXBTC-26FEB2621-B66375,2026-02-27T01:44:06.285496+00:00,,KXBTC-26FEB2621-B66375,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,1,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:44:30.679388+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_throttle-KXBTC-26FEB2621-B68125,2026-02-27T01:44:06.374883+00:00,,KXBTC-26FEB2621-B68125,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,3,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:44:30.688400+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_throttle-KXBTC-26FEB2621-B66125,2026-02-27T01:44:06.465069+00:00,,KXBTC-26FEB2621-B66125,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,5,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:44:30.697440+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_throttle-KXBTC-26FEB2621-B68375,2026-02-27T01:44:06.560302+00:00,,KXBTC-26FEB2621-B68375,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:44:30.706115+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_throttle-KXBTC-26FEB2621-B65875,2026-02-27T01:44:06.650598+00:00,,KXBTC-26FEB2621-B65875,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,1,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:44:30.715642+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_throttle-KXBTC-26FEB2621-B68625,2026-02-27T01:44:06.740788+00:00,,KXBTC-26FEB2621-B68625,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:44:30.724728+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_throttle-KXHIGHNY-26FEB26-B36.5,2026-02-27T01:44:08.740567+00:00,,KXHIGHNY-26FEB26-B36.5,KXHIGHNY-26FEB26,Climate and Weather,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:44:30.733740+00:00,0.000000,0.000000,p_true=0.005000;edge_gone:model_eval_failed;station_id=
