shadow_order_id,created_ts,strategy_id,ticker,event_ticker,category,side,action,maker_or_taker,intended_price_cents,assumed_fill_price_cents,size_contracts,fees_assumed_dollars,slippage_assumed_dollars,rules_text_hash,rules_pointer,resolution_pointer,status,resolved_ts,resolved_payout_dollars,realized_pnl_dollars,notes
shadow-26FEB26_phase23_fullgame_sniper_min-KXBTC-26FEB2622-B67125,2026-02-27T02:50:40.329986+00:00,,KXBTC-26FEB2622-B67125,KXBTC-26FEB2622,Crypto,yes,post_yes,maker,3,3,1,0.000000,0.0,,,,resolved,2026-02-27T03:01:20.859919+00:00,0.000000,-0.030000,p_true=0.500000;fill_trade_id=b00b54af-42ba-68d2-d994-36952a55865c;fill_count_seen=1;result=no
shadow-26FEB26_phase23_fullgame_sniper_min-KXBTC-26FEB2622-B67875,2026-02-27T02:50:40.421015+00:00,,KXBTC-26FEB2622-B67875,KXBTC-26FEB2622,Crypto,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T02:51:07.396423+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_phase23_fullgame_sniper_min-KXBTC-26FEB2622-B66875,2026-02-27T02:50:40.508820+00:00,,KXBTC-26FEB2622-B66875,KXBTC-26FEB2622,Crypto,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T02:51:07.404622+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_phase23_fullgame_sniper_min-KXBTC-26FEB2622-B68125,2026-02-27T02:50:40.614568+00:00,,KXBTC-26FEB2622-B68125,KXBTC-26FEB2622,Crypto,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T02:51:07.411397+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_phase23_fullgame_sniper_min-KXBTC-26FEB2622-B66625,2026-02-27T02:50:40.851511+00:00,,KXBTC-26FEB2622-B66625,KXBTC-26FEB2622,Crypto,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T02:51:07.419575+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_phase23_fullgame_sniper_min-KXBTC-26FEB2622-B68375,2026-02-27T02:50:40.957250+00:00,,KXBTC-26FEB2622-B68375,KXBTC-26FEB2622,Crypto,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T02:51:07.425990+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_phase23_fullgame_sniper_min-KXBTC-26FEB2622-B66375,2026-02-27T02:50:41.071580+00:00,,KXBTC-26FEB2622-B66375,KXBTC-26FEB2622,Crypto,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T02:51:07.433435+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_phase23_fullgame_sniper_min-KXBTC-26FEB2622-B68625,2026-02-27T02:50:41.200234+00:00,,KXBTC-26FEB2622-B68625,KXBTC-26FEB2622,Crypto,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T02:51:07.440050+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_phase23_fullgame_sniper_min-KXBTC-26FEB2622-B66125,2026-02-27T02:50:41.291146+00:00,,KXBTC-26FEB2622-B66125,KXBTC-26FEB2622,Crypto,yes,post_yes,maker,1,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T02:51:07.446543+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_phase23_fullgame_sniper_min-KXBTC-26FEB2622-B68875,2026-02-27T02:50:41.399266+00:00,,KXBTC-26FEB2622-B68875,KXBTC-26FEB2622,Crypto,yes,post_yes,maker,1,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T02:51:07.453707+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_phase23_fullgame_sniper_min-KXHIGHNY-26FEB26-B36.5,2026-02-27T02:50:43.968038+00:00,,KXHIGHNY-26FEB26-B36.5,KXHIGHNY-26FEB26,Climate and Weather,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T02:51:07.460522+00:00,0.000000,0.000000,p_true=0.005000;edge_gone:model_eval_failed;station_id=
