shadow_order_id,created_ts,strategy_id,ticker,event_ticker,category,side,action,maker_or_taker,intended_price_cents,assumed_fill_price_cents,size_contracts,fees_assumed_dollars,slippage_assumed_dollars,rules_text_hash,rules_pointer,resolution_pointer,status,resolved_ts,resolved_payout_dollars,realized_pnl_dollars,notes
shadow-26FEB26_sentinel_smoke-KXHIGHNY-26FEB26-B36.5,2026-02-27T04:54:25.326270+00:00,,KXHIGHNY-26FEB26-B36.5,KXHIGHNY-26FEB26,WEATHER,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T04:54:33.250209+00:00,0.000000,0.000000,p_true=0.005000;edge_gone:model_eval_failed;station_id=
shadow-26FEB26_sentinel_smoke-KXHIGHNY-26FEB26-B38.5,2026-02-27T04:54:25.417253+00:00,,KXHIGHNY-26FEB26-B38.5,KXHIGHNY-26FEB26,WEATHER,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T04:54:33.250384+00:00,0.000000,0.000000,p_true=0.005000;edge_gone:model_eval_failed;station_id=
shadow-26FEB26_sentinel_smoke-KXHIGHNY-26FEB26-B40.5,2026-02-27T04:54:25.518891+00:00,,KXHIGHNY-26FEB26-B40.5,KXHIGHNY-26FEB26,WEATHER,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T04:54:33.250474+00:00,0.000000,0.000000,p_true=0.005000;edge_gone:model_eval_failed;station_id=
shadow-26FEB26_sentinel_smoke-KXHIGHNY-26FEB26-B42.5,2026-02-27T04:54:25.610774+00:00,,KXHIGHNY-26FEB26-B42.5,KXHIGHNY-26FEB26,WEATHER,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T04:54:33.250510+00:00,0.000000,0.000000,p_true=0.005000;edge_gone:model_eval_failed;station_id=
shadow-26FEB26_sentinel_smoke-KXHIGHNY-26FEB26-T36,2026-02-27T04:54:25.706864+00:00,,KXHIGHNY-26FEB26-T36,KXHIGHNY-26FEB26,WEATHER,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T04:54:33.250536+00:00,0.000000,0.000000,p_true=0.005000;edge_gone:model_eval_failed;station_id=
shadow-26FEB26_sentinel_smoke-KXHIGHNY-26FEB26-T43,2026-02-27T04:54:25.802596+00:00,,KXHIGHNY-26FEB26-T43,KXHIGHNY-26FEB26,WEATHER,yes,post_yes,maker,99,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T04:54:33.250562+00:00,0.000000,0.000000,p_true=0.995000;edge_gone:model_eval_failed;station_id=
shadow-26FEB26_sentinel_smoke-KXNBAGAME-26FEB26MINLAC-LAC,2026-02-27T04:54:28.514609+00:00,,KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,NBA,yes,post_yes,maker,46,46,1,0.0,0.0,,,,filled,,,,p_true=0.460000;fill_trade_id=289105ce-819e-5e79-b0cf-94984da60d29;fill_count_seen=1
shadow-26FEB26_sentinel_smoke-KXNHLGAME-26FEB26CGYSJ-CGY,2026-02-27T04:54:28.704614+00:00,,KXNHLGAME-26FEB26CGYSJ-CGY,KXNHLGAME-26FEB26CGYSJ,NHL,yes,post_yes,maker,44,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T04:54:33.758810+00:00,0.000000,0.000000,p_true=0.445000;edge_gone:nhl_live_odds_missing;station_id=None
shadow-26FEB26_sentinel_smoke-KXNHLGAME-26FEB26CGYSJ-SJ,2026-02-27T04:54:28.803393+00:00,,KXNHLGAME-26FEB26CGYSJ-SJ,KXNHLGAME-26FEB26CGYSJ,NHL,yes,post_yes,maker,55,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T04:54:33.759039+00:00,0.000000,0.000000,p_true=0.555000;edge_gone:nhl_live_odds_missing;station_id=None
shadow-26FEB26_sentinel_smoke-KXNHLGAME-26FEB26EDMLA-EDM,2026-02-27T04:54:28.894023+00:00,,KXNHLGAME-26FEB26EDMLA-EDM,KXNHLGAME-26FEB26EDMLA,NHL,yes,post_yes,maker,85,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T04:54:33.759077+00:00,0.000000,0.000000,p_true=0.850000;edge_gone:nhl_live_odds_missing;station_id=None
shadow-26FEB26_sentinel_smoke-KXNHLGAME-26FEB26EDMLA-LA,2026-02-27T04:54:28.990142+00:00,,KXNHLGAME-26FEB26EDMLA-LA,KXNHLGAME-26FEB26EDMLA,NHL,yes,post_yes,maker,11,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T04:54:33.759103+00:00,0.000000,0.000000,p_true=0.090000;edge_gone:nhl_live_odds_missing;station_id=None
shadow-26FEB26_sentinel_smoke-KXNBAGAME-26FEB26MINLAC-MIN,2026-02-27T04:54:33.250589+00:00,,KXNBAGAME-26FEB26MINLAC-MIN,KXNBAGAME-26FEB26MINLAC,NBA,yes,post_yes,maker,50,,1,0.000000,0.002500,,,,open,,,,"p_true=0.555000;latest_eval=ev=0.012581,mu=0.5450,sigma=0.0000,p_true=0.554923,forecast_updated=2026-02-27T04:54:33.723404+00:00,station_id=,model=sports,econ_asof=;reprice:55->50@2026-02-27T04:54:33.250589+00:00;rev=1;reprice_from=55;mu=0.5450;sigma=0.0000;p_true=0.554923;forecast_updated=2026-02-27T04:54:33.723404+00:00;station_id="
