shadow_order_id,created_ts,strategy_id,ticker,event_ticker,category,side,action,maker_or_taker,intended_price_cents,assumed_fill_price_cents,size_contracts,fees_assumed_dollars,slippage_assumed_dollars,rules_text_hash,rules_pointer,resolution_pointer,status,resolved_ts,resolved_payout_dollars,realized_pnl_dollars,notes
shadow-26FEB26-KXNBAGAME-26FEB26CHAIND,2026-02-26T20:54:53.886027+00:00,,KXNBAGAME-26FEB26CHAIND,,Sports,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-26T21:51:16.610530+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26-KXNBAGAME-26FEB26MIAPHI,2026-02-26T20:54:53.986055+00:00,,KXNBAGAME-26FEB26MIAPHI,,Sports,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-26T21:51:16.611171+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26-KXNHLGAME-26FEB26NYRWSH,2026-02-26T20:54:54.087868+00:00,,KXNHLGAME-26FEB26NYRWSH,,Sports,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-26T23:02:50.957432+00:00,0.000000,0.000000,p_true=0.500000;ghost_parent_event_ticker_unresolved;ticker=KXNHLGAME-26FEB26NYRWSH
shadow-26FEB26-KXW-VIS-26FEB26,2026-02-26T20:54:54.191178+00:00,,KXW-VIS-26FEB26,,Other,yes,post_yes,maker,50,,1,0.0,0.0,,,,open,,,,p_true=0.500000
shadow-26FEB26-KXBTC-26FEB2617-B66250,2026-02-26T21:05:31.380649+00:00,,KXBTC-26FEB2617-B66250,KXBTC-26FEB2617,Crypto,yes,post_yes,maker,1,,1,0.000000,0.002500,,,,closed_unfilled,2026-02-26T21:07:05.715024+00:00,0.000000,0.000000,"p_true=0.500000;latest_eval=ev=-0.001975,mu=67436.0000,sigma=0.0001,p_true=0.020156,forecast_updated=2026-02-26T21:07:05.715210+00:00,station_id=,model=crypto,econ_asof=;edge_gone:ev=-0.001975;mu=67436.0000;sigma=0.0001;p_true=0.020156;forecast_updated=2026-02-26T21:07:05.715210+00:00;station_id="
shadow-26FEB26-KXBTC-26FEB2617-B67250,2026-02-26T21:05:31.380676+00:00,,KXBTC-26FEB2617-B67250,KXBTC-26FEB2617,Crypto,yes,post_yes,maker,53,,1,0.000000,0.002500,,,,closed_unfilled,2026-02-26T21:05:42.751999+00:00,0.000000,0.000000,"p_true=0.500000;latest_eval=ev=-0.064774,mu=67436.0000,sigma=0.0001,p_true=0.378275,forecast_updated=2026-02-26T21:05:42.752187+00:00,station_id=,model=crypto,econ_asof=;edge_gone:ev=-0.064774;mu=67436.0000;sigma=0.0001;p_true=0.378275;forecast_updated=2026-02-26T21:05:42.752187+00:00;station_id="
shadow-26FEB26-KXBTC-26FEB2617-B67750,2026-02-26T21:05:31.380688+00:00,,KXBTC-26FEB2617-B67750,KXBTC-26FEB2617,Crypto,yes,post_yes,maker,38,,1,0.000000,0.002500,,,,closed_unfilled,2026-02-26T21:05:42.821480+00:00,0.000000,0.000000,"p_true=0.500000;latest_eval=ev=-0.006841,mu=67436.0000,sigma=0.0001,p_true=0.329925,forecast_updated=2026-02-26T21:05:42.821552+00:00,station_id=,model=crypto,econ_asof=;edge_gone:ev=-0.006841;mu=67436.0000;sigma=0.0001;p_true=0.329925;forecast_updated=2026-02-26T21:05:42.821552+00:00;station_id="
shadow-26FEB26-KXBTC-26FEB2617-B68750,2026-02-26T21:05:31.380712+00:00,,KXBTC-26FEB2617-B68750,KXBTC-26FEB2617,Crypto,yes,post_yes,maker,2,,1,0.000000,0.002500,,,,closed_unfilled,2026-02-26T21:05:43.067893+00:00,0.000000,0.000000,"p_true=0.500000;latest_eval=ev=-0.001818,mu=67436.0000,sigma=0.0001,p_true=0.011805,forecast_updated=2026-02-26T21:05:43.068183+00:00,station_id=,model=crypto,econ_asof=;edge_gone:ev=-0.001818;mu=67436.0000;sigma=0.0001;p_true=0.011805;forecast_updated=2026-02-26T21:05:43.068183+00:00;station_id="
shadow-26FEB26-KXNBAGAME-26FEB26MIAPHI-PHI,2026-02-26T21:05:31.726506+00:00,,KXNBAGAME-26FEB26MIAPHI-PHI,KXNBAGAME-26FEB26MIAPHI,Sports,yes,post_yes,maker,59,,1,0.0,0.0,,,,closed_unfilled,2026-02-26T21:05:43.161190+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:sports_ev_below_min:-0.058275<0.000000;station_id=None
shadow-26FEB26-KXBTC-26FEB2617-B66750,2026-02-26T21:07:29.919300+00:00,,KXBTC-26FEB2617-B66750,KXBTC-26FEB2617,Crypto,yes,post_yes,maker,12,,1,0.000000,0.002500,,,,closed_unfilled,2026-02-26T21:07:38.073030+00:00,0.000000,0.000000,"p_true=0.500000;reprice:8->6@2026-02-26T21:05:42.664862+00:00;rev=1;reprice_from=8;mu=67436.0000;sigma=0.0001;p_true=0.153475;forecast_updated=2026-02-26T21:05:42.664995+00:00;station_id=;reprice:6->8@2026-02-26T21:06:16.459407+00:00;rev=2;reprice_from=6;mu=67436.0000;sigma=0.0001;p_true=0.152764;forecast_updated=2026-02-26T21:06:16.459477+00:00;station_id=;reprice:8->9@2026-02-26T21:06:24.889550+00:00;rev=3;reprice_from=8;mu=67436.0000;sigma=0.0001;p_true=0.152583;forecast_updated=2026-02-26T21:06:24.889673+00:00;station_id=;reprice:9->11@2026-02-26T21:06:49.466444+00:00;rev=4;reprice_from=9;mu=67436.0000;sigma=0.0001;p_true=0.152051;forecast_updated=2026-02-26T21:06:49.466565+00:00;station_id=;reprice:11->14@2026-02-26T21:07:21.761420+00:00;rev=5;reprice_from=11;mu=67436.0000;sigma=0.0001;p_true=0.151338;forecast_updated=2026-02-26T21:07:21.761601+00:00;station_id=;reprice:14->12@2026-02-26T21:07:29.919300+00:00;rev=6;reprice_from=14;mu=67436.0000;sigma=0.0001;p_true=0.151155;forecast_updated=2026-02-26T21:07:29.919481+00:00;station_id=;latest_eval=ev=-0.000963,mu=67436.0000,sigma=0.0001,p_true=0.150971,forecast_updated=2026-02-26T21:07:38.073409+00:00,station_id=,model=crypto,econ_asof=;edge_gone:ev=-0.000963;mu=67436.0000;sigma=0.0001;p_true=0.150971;forecast_updated=2026-02-26T21:07:38.073409+00:00;station_id="
